draw_date,draw_no,n1,n2,n3,n4,n5,source
2007-09-12,96000183.0,7,10,17,23,35,pilio
2007-09-13,96000184.0,1,3,10,15,26,pilio
2007-09-14,96000185.0,11,23,24,36,39,pilio
2007-09-17,96000186.0,16,24,25,26,30,pilio
2007-09-18,96000187.0,1,11,13,24,27,pilio
2007-09-19,96000188.0,4,6,17,24,37,pilio
2007-09-20,96000189.0,7,13,20,25,26,pilio
2007-09-21,96000190.0,12,17,24,34,38,pilio
2007-09-24,96000191.0,2,3,31,36,37,pilio
2007-09-25,96000192.0,1,17,19,27,36,pilio
2007-09-26,96000193.0,8,31,32,33,37,pilio
2007-09-27,96000194.0,6,11,12,16,33,pilio
2007-09-28,96000195.0,4,9,17,26,37,pilio
2007-10-01,96000196.0,2,28,31,33,35,pilio
2007-10-02,96000197.0,1,8,22,23,26,pilio
2007-10-03,96000198.0,1,5,8,12,24,pilio
2007-10-04,96000199.0,2,6,24,35,36,pilio
2007-10-05,96000200.0,8,11,25,34,39,pilio
2007-10-08,96000201.0,14,16,19,21,34,pilio
2007-10-09,96000202.0,5,7,12,22,26,pilio
2007-10-10,96000203.0,1,8,22,24,27,pilio
2007-10-11,96000204.0,4,18,23,26,36,pilio
2007-10-12,96000205.0,1,12,13,17,23,pilio
2007-10-15,96000206.0,9,10,17,18,31,pilio
2007-10-16,96000207.0,11,15,20,22,34,pilio
2007-10-17,96000208.0,3,7,18,19,23,pilio
2007-10-18,96000209.0,11,13,21,22,31,pilio
2007-10-19,96000210.0,7,22,27,29,32,pilio
2007-10-22,96000211.0,1,13,18,23,33,pilio
2007-10-23,96000212.0,3,4,9,22,39,pilio
2007-10-24,96000213.0,1,3,17,29,31,pilio
2007-10-25,96000214.0,9,11,16,20,31,pilio
2007-10-26,96000215.0,17,19,23,29,37,pilio
2007-10-29,96000216.0,3,4,17,32,39,pilio
2007-10-30,96000217.0,3,4,6,22,27,pilio
2007-10-31,96000218.0,15,23,28,35,36,pilio
2007-11-01,96000219.0,9,12,14,22,30,pilio
2007-11-02,96000220.0,1,4,5,30,31,pilio
2007-11-05,96000221.0,12,26,28,31,38,pilio
2007-11-06,96000222.0,9,26,32,33,37,pilio
2007-11-07,96000223.0,6,12,20,21,30,pilio
2007-11-08,96000224.0,23,24,25,29,36,pilio
2007-11-09,96000225.0,2,12,18,28,36,pilio
2007-11-12,96000226.0,30,33,34,36,37,pilio
2007-11-13,96000227.0,5,6,16,18,29,pilio
2007-11-14,96000228.0,2,9,24,31,39,pilio
2007-11-15,96000229.0,6,21,29,35,37,pilio
2007-11-16,96000230.0,1,5,10,19,32,pilio
2007-11-19,96000231.0,10,17,19,20,25,pilio
2007-11-20,96000232.0,7,25,32,34,36,pilio
2007-11-21,96000233.0,6,10,17,20,38,pilio
2007-11-22,96000234.0,4,12,15,30,38,pilio
2007-11-23,96000235.0,7,13,16,24,31,pilio
2007-11-26,96000236.0,5,12,19,29,30,pilio
2007-11-27,96000237.0,5,11,12,19,34,pilio
2007-11-28,96000238.0,1,6,11,14,28,pilio
2007-11-29,96000239.0,12,15,24,29,38,pilio
2007-11-30,96000240.0,3,9,27,32,35,pilio
2007-12-03,96000241.0,3,11,24,28,31,pilio
2007-12-04,96000242.0,11,15,32,36,39,pilio
2007-12-05,96000243.0,3,8,9,11,36,pilio
2007-12-06,96000244.0,11,14,29,32,39,pilio
2007-12-07,96000245.0,15,16,22,24,28,pilio
2007-12-10,96000246.0,2,7,18,19,38,pilio
2007-12-11,96000247.0,15,20,21,24,35,pilio
2007-12-12,96000248.0,10,19,27,36,38,pilio
2007-12-13,96000249.0,7,13,22,26,32,pilio
2007-12-14,96000250.0,2,14,15,28,37,pilio
2007-12-17,96000251.0,2,8,13,24,26,pilio
2007-12-18,96000252.0,7,21,24,30,36,pilio
2007-12-19,96000253.0,6,7,13,27,39,pilio
2007-12-20,96000254.0,13,16,24,29,30,pilio
2007-12-21,96000255.0,1,2,30,37,38,pilio
2007-12-24,96000256.0,19,31,34,36,37,pilio
